"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Kalman Filter for Dynamic Estimation of Stochastic Radio Source Power and DoA","C. Cano; É. Chaumette; P. Larzabal; M. N. El Korso","CREA, École de l'air et de l'espace, Salon-de-Provence Air, France; Fédération ENAC ISAE-SUPAERO, ONERA, Université de Toulouse, Toulouse, France; SATIE, ENS Paris-Saclay, Université Paris-Saclay, Paris, France; L2S, CentraleSupelec, Université Paris-Saclay, Paris, France","2024 58th Asilomar Conference on Signals, Systems, and Computers","4 Apr 2025","2024","","","1881","1885","Interferometric measurements corresponds to sample covariance matrices of signals received by several sensors. In scenarios like dynamic radio astronomy imaging, the properties of these signals can vary over time, presenting a challenging case for study. In this context, this work tackles the problem of estimating stochastic radio source power from sample covariance measurements. A novel approach is developed, introducing a nonstandard Kalman filter tailored for Gaussian noise and signals, expanding the Kalman filter's applicability range to situations where the underlying measurement model is unknown. The effectiveness of this approach for source power and direction of arrival estimation are illustrated through simulations using synthetic data.","2576-2303","979-8-3503-5405-8","10.1109/IEEECONF60004.2024.10942677","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10942677","Kalman filter;dynamic imaging;sample covariance matrix;source power","Direction-of-arrival estimation;Computational modeling;Stochastic processes;Imaging;Radio interferometry;Extraterrestrial measurements;Sensors;Kalman filters;Covariance matrices;Synthetic data","","","","17","IEEE","4 Apr 2025","27-30 Oct. 2024","27-30 Oct. 2024","IEEE","IEEE Conferences"
"Beamforming Optimization based on Kalman Filter for Vehicle in Constrained Route","S. Dai; Q. H. Abbasi; M. Li; M. Imran","School of Engineering, University of Glasgow, Glasgow, United Kingdom; School of Engineering, University of Glasgow, Glasgow, United Kingdom; School of Engineering, University of Glasgow, Glasgow, United Kingdom; School of Engineering, University of Glasgow, Glasgow, United Kingdom",2019 IEEE International Symposium on Antennas and Propagation and USNC-URSI Radio Science Meeting,"31 Oct 2019","2019","","","1365","1366","By analyzing a simplified model for vehicles in a constrained route like High Speed Railway (HSR), it is found that when the distance between transmitter and route is short, the Direction of Arrival (DOA) changing speed is not a negligible effect. A Kalman Filter based solution is then proposed to fuse the vehicle speed sensor and DOA estimation. By using the filtered angle from Kalman filter, power loss due to angle mismatch could be reduced by more than 4dB for 4 elements antenna beamformer in the simulated scenario.","1947-1491","978-1-7281-0692-2","10.1109/APUSNCURSINRSM.2019.8888482","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8888482","","Direction-of-arrival estimation;Kalman filters;Array signal processing;Estimation;Base stations;Wireless communication;Analytical models","","2","","4","IEEE","31 Oct 2019","7-12 July 2019","7-12 July 2019","IEEE","IEEE Conferences"
"DOA Tracking Via Signal-Subspace Projector Update","J. Zhuang; T. Tan; D. Chen; J. Kang","School of Information and Communication Engineering, University of Electronic Science and Technology of China (UESTC), Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China (UESTC), Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China (UESTC), Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China (UESTC), Chengdu, China","ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","9 Apr 2020","2020","","","4905","4909","We develop a novel direction-of-arrival (DOA) tracking method in which we directly operate the signal-subspace projector instead of tracking the subspace eigenbasis. In each time frame, we employ a multidimensional subspace fitting approach to track the signal-subspace projector and the DOA measurements can be obtained as a byproduct. Then these measurements are fed into a Kalman filter to produce the refined DOA estimations. Numerical results demonstrate the superior performance of the proposed tracking method relative to the PAST-based methods.","2379-190X","978-1-5090-6631-5","10.1109/ICASSP40776.2020.9054122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9054122","Direction-of-arrival (DOA) tracking;multidimensional subspace fitting;subspace projector;projection approximation subspace tracking algorithm (PAST)","Direction-of-arrival estimation;Target tracking;Fitting;Signal processing algorithms;Time measurement;Kalman filters;Speech processing","","5","","22","IEEE","9 Apr 2020","4-8 May 2020","4-8 May 2020","IEEE","IEEE Conferences"
"A Fast Variational Bayesian Adaptive Extended Kalman Filter for Robust Underwater Direction-of-Arrival Tracking","B. Zhang; X. Hou; Y. Yang; L. Yang; Y. Wang","School of Marine Science and Technology, Northwestern Polytechnical University, Xi’an, China; School of Marine Science and Technology, Northwestern Polytechnical University, Xi’an, China; School of Marine Science and Technology, Northwestern Polytechnical University, Xi’an, China; School of Marine Science and Technology, Northwestern Polytechnical University, Xi’an, China; School of Marine Science and Technology, Northwestern Polytechnical University, Xi’an, China",IEEE Sensors Journal,"29 Jun 2023","2023","23","13","14709","14720","Underwater direction-of-arrival (DOA) tracking using hydrophone array is an important research subject in passive sonar signal processing. In this study, the robust underwater DOA tracking with the unknown measurement noise results from underwater environmental noise is concerned. To deal with the unknown measurement noise, the existing variational Bayesian adaptive extended Kalman filter (VB-AEKF) for robust underwater DOA tracking jointly estimates the covariance matrix of unknown measurement noise and the DOA by using variational Bayesian approach in the framework of extended Kalman filter. However, the iteration process of VB approach and the nonlinear measurement model based on hydrophone array signal result in significant computational complexity of the VB-AEKF for DOA tracking. To better solve the problem of robust DOA tracking with unknown measurement noise covariance matrix, a novel computationally efficient version of the existing VB-AEKF, which is named the fast variational Bayesian adaptive extended Kalman filter (FVB-AEKF), is proposed. An equivalent variational iteration process to estimate the measurement noise covariance matrix is derived. The proposed FVB-AEKF is identical to the VB-AEKF but reduces the computational complexity of the algorithm. The proposed method is tested via Monte Carlo simulations of an underwater DOA tracking scenario and an experiment in the South China Sea in July 2021. The results of the simulations and the experiment verified the accuracy and the computational efficiency of the FVB-AEKF.","1558-1748","","10.1109/JSEN.2023.3275318","National Natural Science Foundation of China(grant numbers:12104113); Foundation of Central University Operating Expenses Project(grant numbers:G2022KY05102); Fundamental Research Funding for Characteristic Disciplines(grant numbers:G2022WD0235); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10127645","Adaptive tracking;Kalman filter;nonlinear measurement model;underwater direction-of-arrival (DOA) tracking;variational Bayesian approach","Target tracking;Sea measurements;Bayes methods;Kalman filters;Direction-of-arrival estimation;Noise measurement;Covariance matrices","","17","","26","IEEE","16 May 2023","1 July1, 2023","","IEEE","IEEE Journals"
"Multichannel Overlapping Speaker Segmentation Using Multiple Hypothesis Tracking Of Acoustic And Spatial Features","A. O. T. Hogg; C. Evers; P. A. Naylor","Department of Electrical and Electronic Engineering, Imperial College London, UK; Electronics and Computer Science, University of Southampton, UK; Department of Electrical and Electronic Engineering, Imperial College London, UK","ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","13 May 2021","2021","","","26","30","An essential part of any diarization system is the task of speaker segmentation which is important for many applications including speaker indexing and automatic speech recognition (ASR) in multi-speaker environments. Segmentation of overlapping speech has recently been a key focus of this work. In this paper we explore the use of a new multimodal approach for overlapping speaker segmentation that tracks both the fundamental frequency (F0) of the speaker and the speaker’s direction of arrival (DOA) simultaneously. Our proposed multiple hypothesis tracking system, which simultaneously tracks both features, shows an improvement in segmentation performance when compared to tracking these features separately. An illustrative example of overlapping speech demonstrates the effectiveness of our proposed system. We also undertake a statistical analysis on 12 meetings from the AMI corpus and show an improvement in the HIT rate of 14.1% on average against a commonly used deep learning bidirectional long short term memory network (BLSTM) approach.","2379-190X","978-1-7281-7605-5","10.1109/ICASSP39728.2021.9414130","EDS; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9414130","speaker segmentation;Kalman filter;multiple hypothesis tracking;fundamental frequency;direction of arrival","Deep learning;Direction-of-arrival estimation;Statistical analysis;Conferences;Signal processing;Acoustics;Task analysis","","3","","32","IEEE","13 May 2021","6-11 June 2021","6-11 June 2021","IEEE","IEEE Conferences"
"Three-Dimensional Direction Finding of Radio Sources in Low SNR Environments","M. L. Nguyen; T. B. Nguyen; D. P. Phung; V. L. Do","Viettel Group, Viettel High Technology Industries Corporation (VHT), Hoa Lac High-Tech Park, Hanoi, Vietnam; Viettel Group, Viettel High Technology Industries Corporation (VHT), Hoa Lac High-Tech Park, Hanoi, Vietnam; Viettel Group, Viettel High Technology Industries Corporation (VHT), Hoa Lac High-Tech Park, Hanoi, Vietnam; Viettel Group, Viettel High Technology Industries Corporation (VHT), Hoa Lac High-Tech Park, Hanoi, Vietnam",2022 International Conference on Advanced Technologies for Communications (ATC),"15 Nov 2022","2022","","","63","68","This paper deals with the direction-of-arrival (DOA) estimation problem in three-dimensional (3D) space in low signal-to-noise ratio (SNR) environments. The proposed solution utilizes an Isolog-3D antenna with advanced signal processing techniques for solving direction finding in 3D space (DF-3D) problem. Standard DF-3D solutions have been shown to work ineffectively in low SNR scenarios due to large power estimation errors. For solving this problem, we propose in this paper a simple but effective method for reducing DOA estimation errors. The reduction of DOA estimation errors is obtained by combining an amplitude calibration algorithm with the standard Kalman filter. The amplitude calibration helps in removing bias errors in power estimation while the Kalman filter alleviates random noises in DOA estimation. Theoretical and simulation results have been shown for demonstrating the effectiveness of the proposed solution.","2162-1039","978-1-6654-5188-8","10.1109/ATC55345.2022.9942977","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9942977","Direction Finding;DOA Estimation;Amplitude Comparison;Isolog-3D Antenna;Radiation Pattern;Kalman Filter","Estimation error;Direction-of-arrival estimation;Three-dimensional displays;Simulation;Signal processing algorithms;Directive antennas;Calibration","","4","","13","IEEE","15 Nov 2022","20-22 Oct. 2022","20-22 Oct. 2022","IEEE","IEEE Conferences"
"DoA Estimation and Kalman Filter Based Multi-Antenna System for Vehicle Position in mmWave Network","D. Hu; J. Nakazato; J. Ehsan; K. Maruta; R. Dinis; M. Tsukada","Graduate School of Information Science and Technology, The University of Tokyo, Tokyo, Japan; Department of Electrical Engineering, Faculty of Engineering, Tokyo University of Science, Tokyo, Japan; Graduate School of Information Science and Technology, The University of Tokyo, Tokyo, Japan; Department of Electrical Engineering, Faculty of Engineering, Tokyo University of Science, Tokyo, Japan; Instituto de Telecomunicaç oes, FCT-UNL, Aveiro, Portugal; Graduate School of Information Science and Technology, The University of Tokyo, Tokyo, Japan",IEEE Open Journal of Vehicular Technology,"23 Oct 2025","2025","6","","2761","2775","With the advancement of Beyond 5G/6G technologies, accurate positioning and velocity estimation in Internet of Vehicles (IoV) systems has become increasingly critical. Although GPS can provide real-time location information, its performance degrades significantly in environments with heavy obstructions, such as urban areas surrounded by skyscrapers. To address this limitation, this study proposes a positioning framework that relies on channel parameter estimation derived from multi-antenna signal processing. Specifically, we adopt an adaptive low-complexity 2D MUSIC (ALC2D-MUSIC) algorithm to estimate signal directions, and further apply an unscented Kalman filter (UKF) using extracted Direction of Arrival (DoA) and Time of Arrival (ToA) information to estimate vehicle positions and velocities. The proposed system is robust to variations in road geometry, making it suitable for deployment in diverse traffic environments. Simulation results demonstrate that our method achieves high estimation accuracy and outperforms a compressive sensing-based approach across different SNR levels, angular search resolutions, and antenna array sizes. Furthermore, the UKF-based tracking algorithm shows superior performance in curved road scenarios, validating its effectiveness under realistic mobility conditions.","2644-1330","","10.1109/OJVT.2025.3608747","Fundamental Technologies for Sustainable Efficient Radio Wave Use R&D Project; Ministry of Internal Affairs and Communication; National Institute of Information and Communications Technology(grant numbers:01101); JST ASPIRE(grant numbers:JPMJAP2325); FCT/MECI through national funds and when applicable co-funded EU(grant numbers:UID/50008); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11162567","Internet of Vehicular;Kalman filter;extended Kalman filter;unscented Kalman filter;2D MUSIC;channel estimation;position and velocity estimation","Kalman filters;Millimeter wave communication;Estimation;Direction-of-arrival estimation;Channel estimation;Accuracy;Multiple signal classification;Road traffic;Location awareness;Global Positioning System","","","","35","CCBY","12 Sep 2025","2025","","IEEE","IEEE Journals"
"Direction-of-arrival estimation in sensor arrays for moving terminals","D. -C. Chang; B. -W. Zheng","Department of Communication Engineering, National Central University, Taoyuang, Taiwan; Department of Communication Engineering, National Central University, Taoyuang, Taiwan",2017 14th IEEE Annual Consumer Communications & Networking Conference (CCNC),"20 Jul 2017","2017","","","643","644","The beamforming technique usually employs multiple sensors or sensor array to enhance receiving signals such that the generalized sidelobe canceler (GSC) is commonly applied for eliminating interfering signals. In this paper, a new direction-of-arrival (DOA) estimation method is studied for the GSC with a moving terminal in the arrayed wireless sensor network. In our simulations, the beamformer's weighting coefficients are estimated with an augmented Kalman filter (AKF), the standard Kalman filter (KF), and the least mean square (LMS) algorithms. The results show that the AKF has better convergence rate and GSC's output SINR performance than other algorithms.","2331-9860","978-1-5090-6196-9","10.1109/CCNC.2017.7983205","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7983205","Wireless sensor network;GSC;sensor array;DOA;beamforming;Kalman filter","Direction-of-arrival estimation;Array signal processing;Sensor arrays;Kalman filters;Target tracking;Estimation;Signal processing algorithms","","1","","5","IEEE","20 Jul 2017","8-11 Jan. 2017","8-11 Jan. 2017","IEEE","IEEE Conferences"
"Iterative Doppler-Only Track initialization enhanced with Direction of Arrival information","M. Tolonen; T. Kauranne; J. Hartikka; M. Ritola; M. Korhonen","Lappeenranta-Lahti University of Technology LUT, Lappeenranta, FINLAND; Adaptia Solutions Oy, Joensuu, FINLAND; Adaptia Solutions Oy, Joensuu, FINLAND; Adaptia Solutions Oy, Joensuu, FINLAND; Adaptia Solutions Oy, Joensuu, FINLAND",2021 21st International Radar Symposium (IRS),"2 Jul 2021","2021","","","1","8","We study the sensitivity of tracking initialization in a passive radar receiver network which uses the concept of forward-scattering for target tracking. Multi-static radar on VHF is used with Doppler-only information, which as a method is a challenging way of tracking targets. Doppler does not reveal the location of the target easily and this often leads to ambiguous location estimates on track initialization. Direction of arrival information (DOA) can cancel ambiguity on track initialization and the impact of DOA information is discussed in this paper. The validity of the track initialization is verified with reference data based on Automatic Dependent Surveillance - Broadcast (ADS-B) information. The Extended Kalman filter is used for tracker after the track initialization with Doppler-only measurements.","2155-5753","978-3-944976-31-0","10.23919/IRS51887.2021.9466223","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9466223","","Passive radar;Target tracking;Direction-of-arrival estimation;Sensitivity;Surveillance;Scattering;Receivers","","","","25","","2 Jul 2021","21-22 June 2021","21-22 June 2021","IEEE","IEEE Conferences"
"Deconvolved Conventional Beamforming and Adaptive Cubature Kalman Filter Based Distant Speech Perception System","X. Pan; Y. Bao; Y. Zhu; H. Dai; J. Zhang","School of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; School of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; School of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; School of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; Department of Electrical and Computer Engineering, Missouri University of Science and Technology, Rolla, MO, USA",IEEE Access,"21 Oct 2020","2020","8","","187948","187958","A spatial-temporal processing framework integrated of speech enhancement and speech tracking is proposed in this paper for distant speech perception. First, weak speech signals are enhanced by the deconvolved conventional beamforming (DCBF) with a microphone array. By virtue of the narrow beamwidth and low sidelobes of the DCBF, the competing sources can be effectively suppressed without introducing extra speech distortion. Second, with the accurate bearing provided by the DCBF, the Cubature Kalman filter can be utilized to track the speech source of interest. By introducing a scaling factor in the current statistical motion model, a new tracking algorithm is proposed which is suitable for both maneuvering and nonmaneuvering speech sources. The introduced scaling factor can be adaptively adjusted to improve the tracking performance of the proposed algorithm for different motion models. Numerical results show that the proposed algorithm can provide better tracking performance than the conventional one. In particular, the tracking root mean square error can be reduced by half for some cases.","2169-3536","","10.1109/ACCESS.2020.3030814","National Natural Science Foundation of China(grant numbers:41776108,61571397,61171148); National Key Research Program of China(grant numbers:2017YFC0306901); Cynthia Tang Endowment in Computer Engineering, Missouri University of Science and Technology, Rolla, MO, USA; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222129","Cubature Kalman filter;deconvolved conventional beamforming;improved current statistical motion model;maneuvering speech source;speech perception system","Adaptation models;Kalman filters;Tracking;Array signal processing;Speech enhancement;Direction-of-arrival estimation;Numerical models","","4","","30","CCBYNCND","13 Oct 2020","2020","","IEEE","IEEE Journals"
"Channel Parameter Estimation and TX Positioning With Multi-Beam Fusion in 5G mmWave Networks","M. Koivisto; J. Talvitie; E. Rastorgueva-Foi; Y. Lu; M. Valkama","Department of Electrical Engineering, Tampere University, Tampere, Finland; Department of Electrical Engineering, Tampere University, Tampere, Finland; Department of Electrical Engineering, Tampere University, Tampere, Finland; Department of Electrical Engineering, Tampere University, Tampere, Finland; Department of Electrical Engineering, Tampere University, Tampere, Finland",IEEE Transactions on Wireless Communications,"9 May 2022","2022","21","5","3192","3207","Since the beginning of the fifth generation (5G) standardization process, positioning has been considered as a key element in future cellular networks. In order to perform accurate positioning, solutions for estimating and processing location-related measurements such as direction of arrival (DoA) and time of arrival (ToA) for various use-cases need to be developed. In this paper, building on the existing 5G new radio (NR) specifications and millimeter wave frequencies, we propose a novel estimation and tracking solution of the DoA and ToA such that only analog/radio frequency (RF) beamforming-based observations are utilized. In addition to the proposed extended Kalman filter (EKF)-based estimation and tracking approach, we derive Cramér-Rao lower bounds (CRLBs) for the considered RF multi-beam system, and propose an information-based criterion for selecting the necessary beams for the estimation process in order to provide highly accurate performance with feasible computational complexity. The performance of the proposed method is evaluated using extensive ray-tracing simulations and numerical evaluations, and the results are compared with other estimation and beam-selection approaches. Based on the obtained results, beam-selection at the receiver can have a significant impact on the DoA and ToA estimation performance as well as on the subsequent positioning accuracy. Finally, we demonstrate the highly accurate performance of the methods when extended to joint multi-receiver-based device positioning and clock synchronization.","1558-2248","","10.1109/TWC.2021.3119227","Doctoral School of Tampere University; Tekniikan Edistämissäätiö; Nokia Foundation; Emil Aaltonen Fund; Tuula and Yrjö Neuvo Fund; Academy of Finland through the Project LOCALCOM(grant numbers:323244); Project ULTRA(grant numbers:328214); Business Finland under the projects “5G VIIMA” and “5G FORCE.”; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9578931","5G;beamforming;Cramér-Rao lower bound;direction of arrival;extended Kalman filter;millimeter waves;positioning;time of arrival;tracking","Direction-of-arrival estimation;Antenna arrays;5G mobile communication;Estimation;Array signal processing;Antenna measurements;Wireless communication","","28","","58","CCBY","18 Oct 2021","May 2022","","IEEE","IEEE Journals"
"Kalman Filtering based Target Tracking for Multistatic Sensing in ISAC Systems","Q. Yuan; S. Zhuge; Z. Lin; Y. Ma; Y. Zeng","School of Electrical and Electronic Engineering, NTU, Singapore; School of Electrical and Electronic Engineering, NTU, Singapore; School of Electrical and Electronic Engineering, NTU, Singapore; Institute for Infocomm Reasearch A*STAR, Singapore; Institute for Infocomm Reasearch A*STAR, Singapore",2025 IEEE International Symposium on Circuits and Systems (ISCAS),"27 Jun 2025","2025","","","1","5","The advancement of Integrated Sensing and Communication (ISAC) has facilitated the adoption of target tracking technologies, yet most existing research focuses on waveform design rather than specific tracking algorithms within ISAC systems. To address this gap, this paper proposes an effective target tracking method based on Kalman filter (KF) algorithms within the ISAC framework. The method filters noisy radar measurements, such as bistatic range (BR), bistatic range rate (BRR), and direction of arrival (DOA), to enhance tracking accuracy. Performance is assessed by using trajectory maps and root-meansquare error (RMSE) curves, demonstrating that the proposed method significantly improves estimation accuracy while increasing robustness to measurement noise, especially in DOA. Compared to our previously proposed geometric target localization method, this approach delivers superior tracking performance, making it highly suitable for real-time applications in ISAC systems.","2158-1525","979-8-3503-5683-0","10.1109/ISCAS56072.2025.11043835","National Research Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11043835","Integrated sensing and communication (ISAC);Kalman filter;multistatic sensing;target tracking","Target tracking;Direction-of-arrival estimation;Accuracy;Estimation;Integrated sensing and communication;Radar tracking;Robustness;Real-time systems;Noise measurement;Kalman filters","","","","17","IEEE","27 Jun 2025","25-28 May 2025","25-28 May 2025","IEEE","IEEE Conferences"
